nazev_zastavky;poslední_zastavka;zpozdeni;linka
Litvínov,Krušnohor;Litvínov,Máj,věžové domy;0.178571429;27
Lom,náměstí;Lom,Červený kříž;0.183333333;13
Obchodní dům PRIOR;J.Skupy;0.185053381;20
Záluží,Zdravotní středisko;Záluží,Důl Julius IV;0.185064935;4
H.Jiřetín, P.Holého;H.Jiřetín,požární zbrojnice;0.190082645;14
Dopravní podnik;Velebudice,rozcestí;0.195121951;31
Záluží,Důl Julius IV;Most,rozcestí Kopisty;0.2;40
18.ZŠ;Vtelenská;0.200626959;5
Most,sídliště ČD;Most,Souš;0.210526316;1
Litvínov,nádraží;Litvínov,obchodní dům;0.216216216;1
D.Jiřetín,hornická kolonie;D.Jiřetín,rozcestí;0.216216216;12
Nemocnice;Pod Resslem;0.216216216;22
Litvínov,sportovní škola;Litvínov,Citadela;0.222972973;13
Litvínov,Chudeřín;Litvínov,Janáčkova;0.224299065;14
Litvínov,Technické služby;Litvínov,stadion;0.22519084;4
Rudolická,MUS;Nádraží;0.225519288;10
Dům peněžnictví;Aquadrom;0.225806452;25
Kahan;Zd.Štěpánka;0.226415094;17
Pod Resslem;Autodrom;0.22826087;22
Rudolická,MUS;Nádraží;0.229508197;12
Sukova,blok 558;14.ZŠ;0.230496454;30
Litvínov,Technické služby;Litvínov,poliklinika;0.233333333;3
Litvínov,Krušnohor;Litvínov,Šumná,Stavařov;0.234042553;27
Obchodní dům PRIOR;Okresní soud;0.236051502;5
Krym;Sukova,blok 558;0.240740741;12
Komořany;Komořany,tábor 7;0.241666667;12
Okresní soud;Sever;0.243902439;31
Loučná,konečná;Loučná;0.244047619;13
Most,1. náměstí;Most,Čs.mládeže;0.244258873;2
Most,1. náměstí;Most,obchodní dům PRIOR;0.245614035;2
Okresní soud;Sever;0.25;12
Osek,autokempink;Loučná,konečná;0.25;13
Litvínov,Šumná,Stavařov;Litvínov,Krušnohor;0.25;27
Havraň,Joseph I;Havraň,Joseph II;0.25;31
Most,Velebudická škola;Most,Severografia;0.25;40
Rudolice,rozcestí;Rudolice,u mostu;0.25;53
Litvínov,náměstí Míru;Litvínov,Bílý sloup;0.25;60
